,Time 0,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Time 7,Time 8,Time 9,Time 10,Time 11,Time 12,Time 13,Time 14,Time 15,Time 16,Time 17,Time 18
Role 1,7,0,10,11,13,18,16,12,2,17,3,14,9,8,15,4,1,6,5
Role 2,16,12,2,17,3,14,9,8,15,4,1,6,5,7,0,10,11,13,18
Role 3,11,13,18,16,12,2,17,3,14,9,8,15,4,1,6,5,7,0,10
Role 1,8,15,4,1,6,5,7,0,10,11,13,18,16,12,2,17,3,14,9
Role 2,15,4,1,6,5,7,0,10,11,13,18,16,12,2,17,3,14,9,8
Role 3,17,3,14,9,8,15,4,1,6,5,7,0,10,11,13,18,16,12,2
Break,6,5,7,0,10,11,13,18,16,12,2,17,3,14,9,8,15,4,1
Role 1,5,7,0,10,11,13,18,16,12,2,17,3,14,9,8,15,4,1,6
Role 2,3,14,9,8,15,4,1,6,5,7,0,10,11,13,18,16,12,2,17
Role 3,0,10,11,13,18,16,12,2,17,3,14,9,8,15,4,1,6,5,7
Role 1,13,18,16,12,2,17,3,14,9,8,15,4,1,6,5,7,0,10,11
Role 2,9,8,15,4,1,6,5,7,0,10,11,13,18,16,12,2,17,3,14
Role 3,4,1,6,5,7,0,10,11,13,18,16,12,2,17,3,14,9,8,15
Role 1,12,2,17,3,14,9,8,15,4,1,6,5,7,0,10,11,13,18,16
Role 2,14,9,8,15,4,1,6,5,7,0,10,11,13,18,16,12,2,17,3
Role 3,10,11,13,18,16,12,2,17,3,14,9,8,15,4,1,6,5,7,0
Role 1,18,16,12,2,17,3,14,9,8,15,4,1,6,5,7,0,10,11,13
Role 2,2,17,3,14,9,8,15,4,1,6,5,7,0,10,11,13,18,16,12
Role 3,1,6,5,7,0,10,11,13,18,16,12,2,17,3,14,9,8,15,4
